year;month;day;hour;minutes;seconds;lat;lon;depth;ms
1992;6;30;21;49;1.320;33.96790;117.12030;16.00;4.0
2006;5;27;10;21;37.520;32.39290;115.25940;26.40;3.4
2006;5;28;7;40;19.500;32.36360;115.19810;2.10;3.5
2007;4;24;21;8;29.710;38.75140;122.81590;10.20;4.0
2008;4;22;20;40;9.200;41.20550;114.82140;10.40;4.2
2008;4;23;1;55;28.910;34.85630;116.31800;6.30;4.4
2008;12;28;5;17;8.130;32.56240;115.53150;29.30;3.9
2009;4;12;9;41;28.780;32.13020;115.71350;16.30;3.2
2010;3;31;9;20;25.050;32.34480;115.26950;14.70;3.6
2010;4;9;5;32;14.440;32.19580;115.28770;14.70;3.3
2010;6;2;16;7;49.100;32.13330;115.17350;16.10;3.2
2010;6;15;8;14;45.580;32.63730;115.86400;10.20;3.2
2010;7;6;16;38;5.350;32.23940;115.35120;12.80;3.2
2010;8;29;15;53;43.460;32.21240;115.31250;12.70;3.4
2010;12;15;19;16;47.470;33.03640;115.56860;12.80;3.4
2011;5;12;16;23;47.820;38.39370;118.71620;2.30;3.1
2011;7;15;10;37;59.020;32.10350;115.12220;10.10;3.3
2011;10;21;3;16;6.750;37.81580;122.39070;25.80;3.0
2011;12;30;15;34;30.520;32.18200;115.29800;19.60;3.5
2012;5;13;12;38;52.810;38.80950;122.80630;4.20;3.1
2012;5;22;15;6;23.900;32.68860;115.70500;14.80;3.2
2012;7;1;7;54;20.320;32.19300;115.27610;2.50;3.0
2012;8;26;22;58;42.910;32.93710;115.58880;11.70;3.2
2012;8;28;2;1;19.390;33.00710;115.56860;14.60;3.5
2012;10;19;2;51;55.540;32.11060;115.21620;8.50;3.3
2013;9;14;10;25;35.660;32.38120;115.28260;12.40;3.2
2014;6;2;2;36;44.120;34.08740;118.50240;9.70;3.3
2014;12;4;5;24;52.390;41.84810;119.66900;5.50;3.3
2016;2;16;9;24;20.600;34.29760;116.86890;6.90;3.0
2016;7;18;5;53;30.730;36.67530;121.33560;10.50;3.2
2016;7;31;16;21;5.840;32.96070;115.77250;16.20;3.3
2016;9;26;14;31;9.480;33.28220;115.72530;24.20;3.5
2017;1;27;19;8;29.500;38.79950;122.74870;6.70;3.4
2017;4;17;20;31;45.100;38.77170;122.70750;1.00;3.3
2017;8;12;3;0;10.570;38.06260;118.92910;8.40;3.1
2017;12;14;4;57;18.400;39.58350;123.61290;12.50;3.5
2018;11;2;12;58;53.880;36.68690;121.27660;17.90;3.5
2019;7;6;16;36;5.260;35.56020;117.50920;15.10;3.1
2019;7;7;11;22;16.150;35.79310;117.59240;12.70;3.4
2019;7;11;15;32;51.910;36.16260;117.87220;6.80;4.0
2019;7;11;23;45;18.940;35.94140;117.70020;4.90;3.4
2019;7;12;3;27;53.400;35.93240;117.36340;2.50;3.2
2019;7;23;1;36;18.460;35.74100;117.54960;9.40;2.8
2019;7;23;7;45;2.930;35.60700;117.43290;8.20;3.2
2020;1;12;5;21;3.010;32.38930;115.22870;14.60;3.4
2020;3;3;15;1;1.930;36.49610;120.59050;9.20;3.5
2020;3;8;0;33;32.180;36.11290;117.85810;1.30;3.4
2020;5;15;22;46;30.350;38.16270;117.85170;6.10;3.2
2020;5;16;10;28;41.100;38.20190;117.89980;3.50;3.1
2020;6;19;20;42;20.720;38.17780;117.77190;7.60;3.9
2020;8;10;19;29;30.030;33.26810;115.69100;13.90;3.2
2020;8;12;11;45;43.570;38.76970;122.73030;6.60;3.2
2021;4;2;19;8;2.870;38.18070;117.86660;10.00;3.0
2021;4;19;18;50;58.310;38.74950;122.68340;6.90;3.2
2021;4;23;11;18;40.760;39.52930;123.05420;7.60;3.3
2021;6;7;21;8;28.750;33.16750;115.67700;18.50;3.2
2021;6;12;4;39;46.650;33.20670;115.67160;12.20;3.6
2021;11;4;0;24;34.310;39.89170;123.40680;9.70;3.4
2022;6;28;11;57;40.460;38.81700;122.77730;4.40;3.4
2023;4;29;12;7;1.750;32.72470;115.54550;18.40;3.4
2023;8;2;5;38;8.710;33.16800;115.59350;12.80;3.3
2023;10;28;5;40;18.880;38.55830;119.49950;7.20;4.0
